Column1,Column2,Column3,Column4,NOTE
Start Time: 24-07-2020 12:34:25,,,,sensore n. 72
End Time: 15-09-2020 13:04:25,,,,parete destra (spalle all'ingresso)
Data Number: 2546,,,,h=1.60 centro parete
"Temperature (ºC) Max: 34,3 25-07-2020 10:34:25	 Min: 23,8 01-09-2020 09:04:25	 Avg: 28,57",,,,
"Relative Humidity (%) Max: 71,9 29-07-2020 02:34:25	 Min: 43,6 26-07-2020 10:34:25	 Avg: 59,61",,,,
"Dew Point (ºC) Max: 24,47 03-08-2020 00:04:25	 Min: 15,22 05-08-2020 00:04:25	 Avg: 19,86",,,,
,,,,
Record Time,Temperature (ºC),Relative Humidity (%),Dew Point (ºC),
24-07-2020 12:34:25,"30,1","59,1","21,23",
24-07-2020 13:04:25,"30,2","60,6","21,73",
24-07-2020 13:34:25,"30,2","60,0","21,57",
24-07-2020 14:04:25,"30,1","61,2","21,80",
24-07-2020 14:34:25,"30,1","60,0","21,48",
24-07-2020 15:04:25,"30,0","59,5","21,24",
24-07-2020 15:34:25,"30,0","58,2","20,88",
24-07-2020 16:04:25,"29,8","57,8","20,59",
24-07-2020 16:34:25,"29,8","57,8","20,59",
24-07-2020 17:04:25,"29,7","58,9","20,80",
24-07-2020 17:34:25,"29,6","60,0","21,01",
24-07-2020 18:04:25,"29,4","60,7","21,01",
24-07-2020 18:34:25,"29,3","61,2","21,05",
24-07-2020 19:04:25,"29,2","61,7","21,09",
24-07-2020 19:34:25,"29,1","61,9","21,04",
24-07-2020 20:04:25,"29,0","63,6","21,39",
24-07-2020 20:34:25,"28,9","65,8","21,85",
24-07-2020 21:04:25,"28,8","67,2","22,10",
24-07-2020 21:34:25,"28,7","68,3","22,28",
24-07-2020 22:04:25,"28,7","69,0","22,44",
24-07-2020 22:34:25,"28,7","69,9","22,66",
24-07-2020 23:04:25,"28,6","69,8","22,54",
24-07-2020 23:34:25,"28,6","70,0","22,59",
25-07-2020 00:04:25,"28,5","70,6","22,63",
25-07-2020 00:34:25,"28,4","70,8","22,58",
25-07-2020 01:04:25,"28,3","69,5","22,18",
25-07-2020 01:34:25,"28,2","68,8","21,92",
25-07-2020 02:04:25,"28,1","68,7","21,80",
25-07-2020 02:34:25,"28,1","69,2","21,92",
25-07-2020 03:04:25,"28,1","69,5","21,99",
25-07-2020 03:34:25,"28,1","70,9","22,32",
25-07-2020 04:04:25,"28,0","70,7","22,18",
25-07-2020 04:34:25,"28,1","71,0","22,34",
25-07-2020 05:04:25,"28,0","70,9","22,22",
25-07-2020 05:34:25,"27,9","70,0","21,92",
25-07-2020 06:04:25,"27,8","69,5","21,70",
25-07-2020 06:34:25,"28,0","69,2","21,82",
25-07-2020 07:04:25,"28,0","68,2","21,59",
25-07-2020 07:34:25,"28,1","66,8","21,34",
25-07-2020 08:04:25,"28,4","66,4","21,53",
25-07-2020 08:34:25,"28,8","65,4","21,66",
25-07-2020 09:04:25,"29,4","63,1","21,64",
25-07-2020 09:34:25,"29,1","63,8","21,54",
25-07-2020 10:04:25,"29,0","64,3","21,57",
25-07-2020 10:34:25,"34,3","50,8","22,63",
25-07-2020 11:04:25,"31,8","53,7","21,24",
25-07-2020 11:34:25,"30,4","58,1","21,23",
25-07-2020 12:04:25,"30,2","60,9","21,81",
25-07-2020 12:34:25,"30,1","59,8","21,42",
25-07-2020 13:04:25,"30,3","58,6","21,28",
25-07-2020 13:34:25,"30,2","57,8","20,96",
25-07-2020 14:04:25,"30,2","56,3","20,53",
25-07-2020 14:34:25,"30,3","54,5","20,10",
25-07-2020 15:04:25,"30,3","52,3","19,43",
25-07-2020 15:34:25,"30,2","53,2","19,62",
25-07-2020 16:04:25,"30,1","53,5","19,61",
25-07-2020 16:34:25,"30,0","54,8","19,91",
25-07-2020 17:04:25,"30,0","54,5","19,82",
25-07-2020 17:34:25,"29,8","54,7","19,69",
25-07-2020 18:04:25,"29,7","53,6","19,27",
25-07-2020 18:34:25,"29,5","54,4","19,33",
25-07-2020 19:04:25,"29,4","53,9","19,09",
25-07-2020 19:34:25,"29,3","56,0","19,61",
25-07-2020 20:04:25,"29,2","54,3","19,02",
25-07-2020 20:34:25,"29,2","54,5","19,08",
25-07-2020 21:04:25,"29,0","53,9","18,72",
25-07-2020 21:34:25,"28,9","52,0","18,05",
25-07-2020 22:04:25,"28,8","54,4","18,68",
25-07-2020 22:34:25,"28,7","53,5","18,32",
25-07-2020 23:04:25,"28,5","56,6","19,04",
25-07-2020 23:34:25,"28,3","54,3","18,19",
26-07-2020 00:04:25,"28,2","52,3","17,50",
26-07-2020 00:34:25,"28,1","50,8","16,95",
26-07-2020 01:04:25,"27,9","51,8","17,07",
26-07-2020 01:34:25,"27,8","50,1","16,46",
26-07-2020 02:04:25,"27,6","50,8","16,49",
26-07-2020 02:34:25,"27,7","49,9","16,30",
26-07-2020 03:04:25,"27,6","49,5","16,08",
26-07-2020 03:34:25,"27,4","49,6","15,93",
26-07-2020 04:04:25,"27,4","50,0","16,06",
26-07-2020 04:34:25,"27,2","49,2","15,62",
26-07-2020 05:04:25,"27,2","49,4","15,68",
26-07-2020 05:34:25,"27,1","48,9","15,43",
26-07-2020 06:04:25,"27,0","49,0","15,38",
26-07-2020 06:34:25,"27,0","49,3","15,47",
26-07-2020 07:04:25,"27,0","49,9","15,66",
26-07-2020 07:34:25,"27,3","49,9","15,93",
26-07-2020 08:04:25,"27,7","51,0","16,64",
26-07-2020 08:34:25,"28,1","49,1","16,41",
26-07-2020 09:04:25,"28,9","50,5","17,59",
26-07-2020 09:34:25,"28,8","52,7","18,17",
26-07-2020 10:04:25,"29,0","53,9","18,72",
26-07-2020 10:34:25,"33,6","43,6","19,51",
26-07-2020 11:04:25,"32,1","44,9","18,63",
26-07-2020 11:34:25,"30,6","49,5","18,83",
26-07-2020 12:04:25,"30,1","52,9","19,43",
26-07-2020 12:34:25,"30,1","53,4","19,58",
26-07-2020 13:04:25,"30,2","54,8","20,09",
26-07-2020 13:34:25,"30,2","56,6","20,62",
